"Type of road [notes 1, 2, 3]", Speed limit (miles per hour) [notes 4] ,Severity [note 5],2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Motorways,All speeds,Fatal,96,87,77,92,100,76,92,90,78,82
Motorways,All speeds,FSC (unadjusted),708,763,692,767,749,543,679,750,729,731
Motorways,All speeds,FSC (adjusted),992,945,851,922,858,600,727,798,776,773
Motorways,All speeds,All collisions,"5,550","5,405","4,778","4,566","4,130","2,581","3,388","3,435","3,358","3,258"
Built up,20,Fatal,12,29,52,49,55,53,50,67,84,106
Built up,20,FSC (unadjusted),655,"1,018","1,510","1,781","1,901","1,760","2,533","3,047","3,298","3,953"
Built up,20,FSC (adjusted),910,"1,320","1,758","2,021","2,077","1,864","2,636","3,154","3,423","4,138"
Built up,20,All collisions,"4,291","6,747","9,632","10,661","11,742","11,182","14,772","16,447","17,938","18,875"
Built up,30,Fatal,523,571,564,567,543,468,492,517,457,428
Built up,30,FSC (unadjusted),"11,984","12,626","13,276","13,459","13,286","10,305","11,791","12,521","12,237","11,616"
Built up,30,FSC (adjusted),"17,289","16,325","15,506","15,575","14,931","11,481","12,794","13,492","13,139","12,364"
Built up,30,All collisions,"89,549","84,923","79,494","73,408","69,234","52,204","55,798","57,226","54,077","50,163"
Built up,40,Fatal,186,165,148,168,184,132,145,158,171,166
Built up,40,FSC (unadjusted),"1,951","2,024","2,064","2,245","2,242","1,850","1,996","2,279","2,376","2,362"
Built up,40,FSC (adjusted),"2,640","2,431","2,403","2,569","2,500","2,045","2,180","2,456","2,554","2,521"
Built up,40,All collisions,"11,729","11,360","10,517","10,147","9,952","7,806","8,495","9,062","9,032","8,840"
Built up,All speeds,Fatal,721,765,764,784,782,653,687,742,712,700
Built up,All speeds,FSC (unadjusted),"14,590","15,668","16,850","17,485","17,429","13,915","16,320","17,847","17,911","17,931"
Built up,All speeds,FSC (adjusted),"20,839","20,076","19,667","20,165","19,508","15,391","17,609","19,101","19,117","19,023"
Built up,All speeds,All collisions,"105,569","103,030","99,643","94,216","90,928","71,192","79,065","82,735","81,047","77,878"
Non built up,50,Fatal,114,120,140,134,111,107,110,154,131,136
Non built up,50,FSC (unadjusted),959,"1,105","1,067","1,112","1,045",911,"1,073","1,299","1,278","1,272"
Non built up,50,FSC (adjusted),"1,293","1,329","1,240","1,283","1,172","1,008","1,183","1,402","1,379","1,373"
Non built up,50,All collisions,"5,302","5,339","4,945","4,773","4,432","3,616","4,031","4,349","4,419","4,456"
Non built up,60,Fatal,576,592,581,542,548,473,483,489,491,467
Non built up,60,FSC (unadjusted),"4,533","4,754","4,614","4,453","4,547","3,711","3,955","4,267","4,324","4,368"
Non built up,60,FSC (adjusted),"5,994","5,685","5,433","5,217","5,107","4,067","4,356","4,688","4,712","4,738"
Non built up,60,All collisions,"18,982","18,295","16,604","15,299","14,400","11,315","11,827","12,472","12,613","12,604"
Non built up,70,Fatal,109,131,114,119,117,82,102,127,110,117
Non built up,70,FSC (unadjusted),808,880,809,822,863,663,731,772,718,766
Non built up,70,FSC (adjusted),"1,069","1,020",929,931,951,719,794,844,781,827
Non built up,70,All collisions,"4,652","4,515","4,012","3,781","3,566","2,483","2,776","3,013","2,821","2,728"
Non built up,All speeds,Fatal,799,843,835,795,776,662,695,770,732,720
Non built up,All speeds,FSC (unadjusted),"6,300","6,739","6,490","6,387","6,455","5,285","5,759","6,338","6,320","6,406"
Non built up,All speeds,FSC (adjusted),"8,356","8,033","7,602","7,431","7,230","5,794","6,332","6,934","6,872","6,938"
Non built up,All speeds,All collisions,"28,936","28,149","25,561","23,853","22,398","17,414","18,634","19,834","19,853","19,788"
All road types,All speeds,Fatal,"1,616","1,695","1,676","1,671","1,658","1,391","1,474","1,602","1,522","1,502"
All road types,All speeds,FSC (unadjusted),"21,598","23,173","24,032","24,639","24,638","19,746","22,758","24,935","24,960","25,069"
All road types,All speeds,FSC (adjusted),"30,187","29,059","28,120","28,519","27,600","21,788","24,669","26,834","26,764","26,734"
All road types,All speeds,All collisions,"140,056","136,621","129,982","122,635","117,536","91,199","101,087","106,004","104,258","100,927"
,,,,,,,,,,,,
,,,,,,,,,,,,
"Reported road collisions by severity, speed limit, and road class, Great Britain, 10 years up to 2024",,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,
Fatal or serious collisions is referred to as FSC.,,,,,,,,,,,,
"Filters are active in row 5 and may hide some data. To turn off all filters select the ‘Data’ ribbon then ‘Filter’ button  or use [Ctrl, Shift, L]. ",,,,,,,,,,,,
